[INFO ] 2025-10-23 16:40:34,212 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 16:40:34,224 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 16:40:34,230 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:34,241 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:34,246 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:34,633 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:34,639 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 16:40:34,649 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 16:40:34,653 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:34,664 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:34,668 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:34,993 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:35,008 [repositories/fdp | c.o.g.s.StatementsController] POST data to repository
[INFO ] 2025-10-23 16:40:35,413 [repositories/fdp | c.o.g.s.StatementsController] POST data to repository
[INFO ] 2025-10-23 16:40:35,765 [repositories/fdp | c.o.g.s.StatementsController] POST data to repository
[INFO ] 2025-10-23 16:40:36,112 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] POST transaction start
[INFO ] 2025-10-23 16:40:36,121 [repositories/fdp | o.e.r.h.s.r.t.TransactionStartController] transaction started
[INFO ] 2025-10-23 16:40:36,125 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:36,134 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:36,138 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation
[INFO ] 2025-10-23 16:40:36,510 [repositories/fdp | o.e.r.h.s.r.t.TransactionController] PUT txn operation request finished.
[INFO ] 2025-10-23 16:40:39,968 [repositories/fdp | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1503676570
[INFO ] 2025-10-23 16:40:40,068 [repositories/fdp | c.o.g.s.TupleQueryResultView] Request for query 1503676570 is finished
